wavelength (nm);29/5/2023;29/5/2023;29/5/2023;29/5/2023
258.5;13.02500;16.16800;20.43200;23.67400
259;12.99000;16.12200;20.25500;23.56000
259.5;12.95100;16.05900;20.09500;23.40500
260;13.00400;16.11300;20.01600;23.34200
260.5;12.99200;16.16800;19.95600;23.25000
261;12.96900;16.20700;19.92000;23.18600
261.5;13.01100;16.13600;19.92100;23.23200
262;12.97800;16.14600;19.98900;23.26400
262.5;12.94300;16.13900;19.96700;23.24700
263;13.01600;16.19200;19.94400;23.22200
263.5;13.03400;16.16100;19.97100;23.18900
264;13.05900;16.19700;19.97900;23.24200
264.5;13.04000;16.16900;20.02200;23.27100
265;13.03200;16.20300;20.05400;23.30500
265.5;13.02100;16.16800;20.08200;23.26700
266;12.99800;16.18400;20.04900;23.23800
266.5;13.03400;16.09000;20.04700;23.30600
267;13.06900;16.21700;20.00400;23.31900
267.5;13.16200;16.27600;19.88700;23.32900
268;13.29000;16.34600;19.87300;23.33100
268.5;13.43100;16.41200;19.90700;23.36800
269;13.59100;16.50600;19.93000;23.47100
269.5;13.65000;16.51300;19.96600;23.53200
270;13.65100;16.49700;19.96000;23.58700
270.5;13.63500;16.51500;19.99100;23.62700
271;13.57200;16.54700;19.99600;23.60100
271.5;13.52400;16.49500;19.95800;23.57300
272;13.52900;16.57100;19.86500;23.54300
272.5;13.52800;16.58600;19.80400;23.50200
273;13.53900;16.67300;19.77100;23.42100
273.5;13.66300;16.75500;19.78600;23.40700
274;13.75100;16.88900;19.76900;23.39400
274.5;13.83700;16.98300;19.74900;23.35900
275;13.94000;16.99800;19.72000;23.36400
275.5;13.98500;17.01000;19.74800;23.36300
276;13.98500;16.87200;19.73300;23.25400
276.5;14.03200;16.79200;19.61400;23.16900
277;14.03300;16.71400;19.54600;23.15600
277.5;14.00900;16.62000;19.49500;23.16100
278;13.94000;16.63700;19.44400;23.12200
278.5;13.95900;16.64700;19.42900;23.12100
279;13.93900;16.71600;19.41300;23.07600
279.5;13.97100;16.73700;19.39000;23.02400
280;14.01500;16.73500;19.38900;22.96900
280.5;14.01300;16.69900;19.38300;22.91000
281;14.07200;16.68900;19.32300;22.77900
281.5;14.19400;16.73300;19.23800;22.69800
282;14.25300;16.72000;19.22700;22.63700
282.5;14.28400;16.68700;19.19200;22.61500
283;14.27100;16.70300;19.12300;22.58700
283.5;14.28300;16.68300;19.04100;22.55900
284;14.27100;16.66800;18.97000;22.49900
284.5;14.15800;16.63500;18.90000;22.49500
285;14.02700;16.57600;18.82500;22.44700
285.5;13.88700;16.50700;18.72000;22.42400
286;13.81500;16.47900;18.66800;22.35600
286.5;13.80600;16.41700;18.60100;22.29500
287;13.76600;16.37400;18.54500;22.18900
287.5;13.82600;16.39600;18.45500;22.08800
288;13.82500;16.33300;18.34100;21.99100
288.5;13.83900;16.31100;18.21000;21.90700
289;13.84400;16.25500;18.14300;21.83300
289.5;13.72900;16.21400;18.10000;21.77900
290;13.60400;16.11000;18.05500;21.67800
290.5;13.49200;15.96800;17.98800;21.63700
291;13.40200;15.83600;17.96000;21.59500
291.5;13.36900;15.76800;17.90800;21.56200
292;13.30400;15.73000;17.87200;21.48500
292.5;13.28300;15.72400;17.79900;21.36900
293;13.15100;15.68300;17.71200;21.25400
293.5;13.12600;15.73600;17.58600;21.19200
294;13.09800;15.75400;17.48600;21.11600
294.5;13.05100;15.81300;17.39100;20.98200
295;13.01100;15.81300;17.29500;20.87300
295.5;12.97900;15.71400;17.19500;20.80300
296;12.94100;15.62200;17.11600;20.74000
296.5;12.97000;15.59400;17.08200;20.67500
297;12.96300;15.51500;17.07200;20.59300
297.5;12.90400;15.42100;17.07900;20.56900
298;12.88600;15.40100;17.06900;20.55900
298.5;12.90200;15.37100;17.00600;20.50300
299;12.88900;15.33400;16.94900;20.41800
299.5;12.82400;15.30600;16.92000;20.36800
300;12.87900;15.34800;16.86000;20.30800
300.5;12.86200;15.32100;16.77100;20.23400
301;12.85200;15.30900;16.69600;20.20800
301.5;12.89300;15.30700;16.64700;20.13200
302;12.86500;15.26200;16.59900;20.12300
302.5;12.81200;15.20100;16.60400;20.20400
303;12.79200;15.16000;16.62900;20.25800
303.5;12.65200;15.07000;16.66900;20.29900
304;12.56400;15.03100;16.73000;20.36800
304.5;12.53100;15.01100;16.72100;20.36000
305;12.68100;15.11800;16.63800;20.27500
305.5;12.74200;15.19900;16.56600;20.21400
306;12.82800;15.25400;16.50800;20.19400
306.5;12.88600;15.23700;16.45600;20.13100
307;12.90800;15.24400;16.41200;20.11900
307.5;12.85400;15.20200;16.41400;20.14400
308;12.77300;15.15200;16.44200;20.18400
308.5;12.69000;15.13600;16.47600;20.25100
309;12.68100;15.19700;16.47400;20.27600
309.5;12.68900;15.25300;16.40100;20.15800
310;12.68800;15.28000;16.36300;20.15000
310.5;12.70500;15.33600;16.30800;20.15800
311;12.75200;15.37800;16.24900;20.17100
311.5;12.76800;15.35100;16.28700;20.17900
312;12.78500;15.38800;16.33400;20.22300
312.5;12.75900;15.39200;16.39300;20.30400
313;12.80700;15.45200;16.42900;20.37400
313.5;12.90200;15.55800;16.41900;20.41700
314;12.93500;15.67100;16.43500;20.42900
314.5;12.96600;15.71100;16.44000;20.34800
315;13.00500;15.65700;16.47500;20.42300
315.5;13.04500;15.65500;16.47800;20.46500
316;13.04900;15.57500;16.51100;20.50000
316.5;13.01000;15.58200;16.59600;20.51200
317;13.07500;15.70300;16.66600;20.49700
317.5;13.12900;15.81100;16.70000;20.49000
318;13.24400;15.90800;16.63200;20.46000
318.5;13.29500;15.97100;16.58500;20.41900
319;13.34300;16.02600;16.61000;20.39400
319.5;13.39100;15.96300;16.61900;20.35500
320;13.43100;15.88200;16.63600;20.45000
320.5;13.40500;15.84700;16.65700;20.52000
321;13.44200;15.82400;16.65900;20.58200
321.5;13.37200;15.93000;16.64600;20.60200
322;13.38100;16.03800;16.66800;20.61800
322.5;13.34000;16.05500;16.63600;20.64000
323;13.23100;16.00100;16.64300;20.68000
323.5;13.12800;15.90200;16.72200;20.67700
324;13.05500;15.75400;16.72500;20.63600
324.5;12.96500;15.57700;16.66000;20.61300
325;12.93600;15.52500;16.60900;20.56900
325.5;12.90900;15.52100;16.57800;20.51400
326;12.93900;15.53000;16.46700;20.41100
326.5;12.91500;15.56100;16.32800;20.34700
327;12.97400;15.53500;16.27600;20.30900
327.5;12.96000;15.49600;16.20600;20.27000
328;12.91800;15.42000;16.21500;20.25200
328.5;12.87300;15.25600;16.20400;20.12600
329;12.78000;15.08000;16.16900;19.96600
329.5;12.65800;14.92900;16.09000;19.94400
330;12.60300;14.88000;16.05000;19.87000
330.5;12.46500;14.84900;15.99900;19.76800
331;12.35500;14.73500;15.94500;19.68000
331.5;12.32200;14.71600;15.79900;19.62300
332;12.31300;14.72300;15.68500;19.55600
332.5;12.28500;14.77200;15.52300;19.46300
333;12.36700;14.85600;15.33100;19.28700
333.5;12.29400;14.78800;15.21000;19.11700
334;12.24700;14.75900;15.12000;18.95200
334.5;12.13300;14.61700;15.03800;18.89700
335;12.04600;14.53400;14.92100;18.76300
335.5;11.94500;14.42700;14.82900;18.58400
336;11.90100;14.26100;14.74500;18.42200
336.5;11.81400;14.18000;14.61300;18.25800
337;11.72800;14.04500;14.47000;18.04800
337.5;11.60700;13.91600;14.33400;17.88500
338;11.57000;13.85700;14.14400;17.66800
