wavelength (nm);29/5/2023;29/5/2023;29/5/2023;29/5/2023
486;0.65100;0.84800;0.76800;1.11600
486.5;0.70300;0.86000;0.80500;1.14900
487;0.72200;0.84100;0.86000;1.19400
487.5;0.75100;0.83200;0.89000;1.22000
488;0.75700;0.82700;0.93200;1.22000
488.5;0.73300;0.81900;0.94100;1.20100
489;0.66400;0.76300;0.93100;1.16400
489.5;0.62900;0.78000;0.86500;1.11200
490;0.64800;0.79200;0.74700;1.02500
490.5;0.65400;0.75800;0.63100;0.93500
491;0.63300;0.70900;0.58600;0.90900
491.5;0.63000;0.65700;0.60000;0.93000
492;0.56400;0.57300;0.69300;0.99500
492.5;0.58200;0.57000;0.74400;1.06000
493;0.59000;0.61200;0.78300;1.10400
493.5;0.57100;0.62500;0.83500;1.11700
494;0.56300;0.66000;0.84700;1.13100
494.5;0.56300;0.65900;0.86200;1.15000
495;0.55900;0.63200;0.84600;1.12500
495.5;0.56300;0.57800;0.82300;1.08100
496;0.54100;0.51000;0.84700;1.09200
496.5;0.52600;0.47900;0.87500;1.10900
497;0.46700;0.41600;0.88900;1.13800
497.5;0.48700;0.38800;0.86400;1.16500
498;0.48700;0.44700;0.82400;1.18500
498.5;0.54600;0.52900;0.80200;1.12900
499;0.56300;0.58100;0.78900;1.14700
499.5;0.56600;0.53300;0.82700;1.16700
500;0.58800;0.52700;0.79200;1.10800
500.5;0.63300;0.56000;0.77700;1.05900
501;0.68100;0.59600;0.76400;1.01900
501.5;0.70800;0.60900;0.76000;0.99100
502;0.71100;0.59000;0.73700;0.95200
502.5;0.69000;0.55700;0.64600;0.87000
503;0.65100;0.56400;0.58000;0.83300
503.5;0.65900;0.58000;0.58500;0.79000
504;0.58500;0.55100;0.63400;0.84200
504.5;0.50300;0.48500;0.66500;0.86900
505;0.45100;0.47900;0.68200;0.87500
505.5;0.35800;0.40400;0.71100;0.91200
506;0.35200;0.40300;0.70700;0.92300
506.5;0.37800;0.36200;0.70700;0.90600
507;0.38300;0.34100;0.65800;0.86900
507.5;0.39100;0.30200;0.55400;0.79600
508;0.43100;0.30300;0.52200;0.76400
508.5;0.51000;0.34000;0.57500;0.75900
509;0.51900;0.33500;0.62800;0.79500
509.5;0.47700;0.31200;0.64600;0.80600
510;0.44500;0.30100;0.73800;0.86800
510.5;0.41700;0.25600;0.80600;0.93600
511;0.40000;0.30900;0.84500;0.98700
511.5;0.38800;0.34900;0.84400;0.99600
512;0.32900;0.34600;0.86600;1.04300
512.5;0.35300;0.39300;0.86100;1.05500
513;0.38400;0.42000;0.84400;1.07200
513.5;0.41100;0.47300;0.85400;1.09100
514;0.38400;0.44100;0.85200;1.14200
514.5;0.34600;0.42000;0.87500;1.19000
515;0.38400;0.40700;0.89400;1.21700
515.5;0.42400;0.37500;0.87700;1.21200
516;0.40400;0.35100;0.86100;1.16500
516.5;0.40100;0.33400;0.83500;1.13900
517;0.37000;0.31600;0.86300;1.11700
517.5;0.38600;0.32800;0.86800;1.09500
518;0.39600;0.33700;0.85900;1.07300
518.5;0.38000;0.33400;0.92400;1.07000
519;0.39800;0.34300;0.91600;1.05200
519.5;0.35800;0.31200;0.91800;1.08400
520;0.35800;0.34500;0.86900;1.06700
520.5;0.36200;0.35000;0.81600;1.00800
521;0.35800;0.36500;0.76000;0.95800
521.5;0.34800;0.35200;0.74700;0.96200
522;0.30700;0.37100;0.76500;0.95500
522.5;0.28500;0.36000;0.77000;0.95900
523;0.22300;0.36200;0.79800;0.97700
523.5;0.20800;0.32400;0.84400;0.98000
524;0.22100;0.30900;0.79200;0.91500
524.5;0.22400;0.27100;0.75800;0.91100
525;0.23700;0.27400;0.72900;0.87900
525.5;0.26300;0.29800;0.68900;0.82800
526;0.32800;0.32800;0.65700;0.82100
526.5;0.34800;0.33500;0.67000;0.85700
527;0.36300;0.39000;0.67300;0.86100
527.5;0.40300;0.47600;0.61100;0.83500
528;0.39200;0.51000;0.63700;0.86700
528.5;0.41500;0.51700;0.67600;0.89800
529;0.39000;0.49000;0.65900;0.87800
529.5;0.35500;0.45800;0.65400;0.86800
530;0.33700;0.42500;0.60300;0.84200
530.5;0.31300;0.36700;0.54100;0.80600
531;0.27400;0.28400;0.50700;0.78600
531.5;0.24300;0.25600;0.51900;0.78700
532;0.33100;0.30200;0.51800;0.77600
532.5;0.39000;0.39700;0.51900;0.75000
533;0.41200;0.42400;0.59200;0.77000
533.5;0.49400;0.46100;0.61200;0.76900
534;0.49500;0.47300;0.57900;0.74700
534.5;0.50100;0.51600;0.51400;0.70600
535;0.52500;0.52100;0.44300;0.68200
535.5;0.45500;0.44300;0.38100;0.66400
536;0.40100;0.35800;0.40700;0.66800
536.5;0.38600;0.32600;0.47100;0.72900
537;0.43500;0.32100;0.55800;0.77900
537.5;0.39500;0.29200;0.69100;0.84900
538;0.35500;0.26900;0.77300;0.90000
538.5;0.36900;0.30800;0.78700;0.89500
539;0.37200;0.36300;0.77600;0.87100
539.5;0.37700;0.41200;0.73700;0.82400
540;0.38000;0.46200;0.70900;0.81200
540.5;0.38500;0.50400;0.60900;0.77500
541;0.39100;0.50900;0.59300;0.77100
541.5;0.41600;0.50000;0.61700;0.83400
542;0.41700;0.44200;0.66500;0.87500
542.5;0.40700;0.41500;0.68500;0.89000
543;0.43300;0.45800;0.67300;0.89200
543.5;0.41200;0.48500;0.68000;0.90100
544;0.35600;0.46800;0.67800;0.89200
544.5;0.28900;0.40500;0.69300;0.87800
545;0.23200;0.32100;0.68000;0.86000
545.5;0.24300;0.27300;0.62600;0.84300
546;0.24900;0.22800;0.63100;0.84800
546.5;0.26500;0.17500;0.61600;0.82700
547;0.23600;0.13500;0.57900;0.78200
547.5;0.19500;0.13100;0.53600;0.70000
548;0.22200;0.20000;0.47600;0.62900
548.5;0.18800;0.18600;0.47300;0.62900
549;0.17300;0.14700;0.50800;0.64900
549.5;0.16200;0.12300;0.57600;0.66800
550;0.15900;0.06500;0.63300;0.70100
550.5;0.25100;0.09700;0.69700;0.76800
551;0.27000;0.15300;0.74400;0.83800
551.5;0.31900;0.19500;0.75700;0.87700
552;0.26100;0.16500;0.75200;0.86200
552.5;0.16900;0.07600;0.75900;0.83100
553;0.18800;0.10900;0.67100;0.75900
553.5;0.18500;0.10300;0.58600;0.69500
554;0.22500;0.11800;0.54900;0.62600
554.5;0.25900;0.17500;0.50500;0.59500
555;0.28900;0.17200;0.54300;0.61900
555.5;0.32200;0.14200;0.58700;0.68800
556;0.31700;0.20500;0.60400;0.74400
556.5;0.34000;0.20300;0.67300;0.80300
557;0.29800;0.17300;0.73200;0.85000
557.5;0.26100;0.14300;0.75400;0.87500
558;0.25500;0.16300;0.69200;0.83800
558.5;0.19000;0.17300;0.63700;0.78400
559;0.18600;0.22500;0.59300;0.75100
559.5;0.22700;0.25200;0.54600;0.73000
560;0.27300;0.22700;0.55700;0.70800
560.5;0.29700;0.18600;0.54200;0.73200
561;0.33900;0.21600;0.54800;0.71500
561.5;0.34400;0.20800;0.56100;0.67000
562;0.36200;0.21500;0.60200;0.66200
562.5;0.33000;0.21900;0.62500;0.65000
563;0.23000;0.14500;0.65100;0.65600
563.5;0.16600;0.08100;0.70500;0.67000
564;0.12100;0.08800;0.70200;0.69100
564.5;0.06100;0.04000;0.71700;0.67600
565;0.05500;0.03200;0.68800;0.67200
565.5;0.02800;0.03500;0.66400;0.71900
566;0.01500;0.02400;0.70800;0.78000
566.5;-0.02200;-0.00700;0.79700;0.87700
567;-0.04900;-0.03800;0.92700;0.95900
567.5;-0.04600;-0.05100;0.98900;1.00600
568;-0.04900;-0.10100;1.04600;1.03700
568.5;-0.02200;-0.12100;1.06700;1.00500
569;0.00100;-0.04700;0.98800;0.96000
569.5;0.01400;0.01000;0.92000;0.89200
570;0.07500;0.09900;0.75400;0.76200
570.5;0.13500;0.19300;0.63400;0.67800
571;0.19300;0.21800;0.57600;0.64200
571.5;0.20000;0.23700;0.55400;0.64100
572;0.16300;0.22400;0.57300;0.63400
572.5;0.18000;0.23600;0.57400;0.61300
573;0.17900;0.23100;0.55900;0.59500
573.5;0.21700;0.23900;0.52300;0.54400
574;0.27700;0.28900;0.48900;0.55400
574.5;0.27100;0.28100;0.50600;0.61000
575;0.29400;0.31700;0.50100;0.58800
575.5;0.31800;0.30900;0.46700;0.58000
576;0.36000;0.34100;0.43900;0.55800
576.5;0.36900;0.39400;0.37800;0.50300
577;0.33800;0.43900;0.35600;0.47400
577.5;0.34900;0.49200;0.39600;0.47700
578;0.30800;0.44000;0.42800;0.50600
578.5;0.35100;0.41300;0.44200;0.48600
579;0.39100;0.39000;0.46700;0.48200
579.5;0.34600;0.29300;0.45000;0.48400
580;0.34500;0.20300;0.41800;0.46200
580.5;0.30900;0.08500;0.37100;0.47000
581;0.26900;0.02800;0.37700;0.46400
581.5;0.19400;-0.00300;0.33200;0.43200
582;0.16600;0.03100;0.30500;0.39000
582.5;0.13800;0.05200;0.33500;0.37300
583;0.08700;0.04900;0.36500;0.37000
583.5;0.04300;0.10500;0.35800;0.36100
584;0.01600;0.13000;0.33400;0.32500
584.5;-0.00700;0.09200;0.24000;0.26400
585;-0.00200;0.03200;0.16300;0.22600
585.5;-0.03300;-0.03400;0.11900;0.23500
586;-0.02500;-0.10000;0.16500;0.24400
586.5;-0.00200;-0.09000;0.15600;0.24900
587;0.08300;-0.04100;0.19900;0.28300
587.5;0.19100;0.01700;0.23200;0.29200
588;0.28900;0.13600;0.27800;0.30100
588.5;0.26000;0.19900;0.35800;0.37300
589;0.24900;0.23000;0.41800;0.40500
589.5;0.27900;0.25500;0.42600;0.42800
590;0.29400;0.29300;0.38900;0.38700
590.5;0.27200;0.26800;0.35900;0.35700
591;0.26000;0.18400;0.34700;0.31600
591.5;0.22100;0.16800;0.28800;0.31800
592;0.16700;0.09800;0.27800;0.35300
592.5;0.22000;0.14000;0.22400;0.28700
593;0.27800;0.23000;0.19500;0.25300
593.5;0.28800;0.31600;0.14500;0.19200
594;0.32400;0.41200;0.11900;0.12700
594.5;0.41200;0.52300;0.09900;0.06600
595;0.45900;0.58200;0.05600;0.00600
595.5;0.49400;0.60700;0.02900;-0.03800
596;0.45800;0.51600;0.04100;-0.01600
596.5;0.32100;0.33800;0.14100;0.10500
597;0.18400;0.15500;0.23900;0.24300
597.5;0.16200;0.10500;0.31600;0.32000
598;0.23000;0.11100;0.35900;0.38800
598.5;0.26300;0.11400;0.40700;0.39800
599;0.29500;0.13000;0.46100;0.39600
599.5;0.32800;0.10800;0.45900;0.35500
600;0.33200;0.12200;0.42300;0.32900
600.5;0.30100;0.06000;0.43400;0.32400
601;0.21200;-0.00300;0.47300;0.33900
601.5;0.07600;-0.10800;0.55900;0.40300
602;0.02200;-0.12100;0.58100;0.45500
602.5;0.09200;-0.02100;0.54200;0.42800
603;0.24400;0.08800;0.45100;0.38600
603.5;0.33100;0.16500;0.39300;0.35600
604;0.39900;0.25000;0.34400;0.31600
604.5;0.45300;0.28300;0.26400;0.26700
605;0.36300;0.19700;0.27400;0.26700
605.5;0.23700;0.09600;0.30000;0.31300
606;0.13700;0.10000;0.36900;0.35500
606.5;0.04300;0.05300;0.44000;0.38100
607;-0.03200;0.01200;0.48100;0.41600
607.5;-0.02100;0.07900;0.42300;0.35000
608;0.00100;0.12300;0.31600;0.29100
608.5;0.00300;0.11600;0.23400;0.19800
609;-0.01000;0.06000;0.21400;0.13900
609.5;0.02300;-0.04000;0.23100;0.15100
610;-0.06800;-0.18900;0.34500;0.22500
610.5;-0.07200;-0.21300;0.42200;0.30800
611;-0.01800;-0.12800;0.54800;0.39600
611.5;0.00300;-0.10800;0.64900;0.47200
612;-0.04100;-0.07900;0.68100;0.53600
612.5;-0.00800;-0.01600;0.68600;0.57600
613;0.08000;0.11900;0.57300;0.52700
613.5;0.19300;0.20900;0.47900;0.43600
614;0.25200;0.26000;0.44600;0.43600
614.5;0.27300;0.23400;0.39300;0.38000
615;0.28400;0.25500;0.35800;0.29000
615.5;0.33500;0.31500;0.27800;0.22500
616;0.33800;0.31900;0.25200;0.19200
616.5;0.29800;0.27200;0.24300;0.16800
617;0.25000;0.25300;0.24900;0.15900
617.5;0.22700;0.21600;0.26000;0.19600
618;0.24700;0.26200;0.25300;0.18600
618.5;0.22100;0.25900;0.26300;0.21200
619;0.18200;0.17600;0.28800;0.26900
619.5;0.12900;0.13200;0.20200;0.21200
620;0.07800;0.12700;0.08400;0.13500
620.5;0.11200;0.15400;-0.03900;0.05800
621;0.11400;0.11000;-0.11000;-0.04600
621.5;0.15300;0.13400;-0.09700;-0.08400
622;0.23400;0.23400;-0.12000;-0.14500
622.5;0.27000;0.32300;-0.13600;-0.15900
623;0.27900;0.39600;-0.04000;-0.12700
623.5;0.24700;0.35600;0.05800;-0.02800
624;0.20100;0.27100;0.23100;0.13700
624.5;0.14100;0.25500;0.36800;0.25500
625;-0.01700;0.06500;0.56400;0.40600
625.5;-0.09900;-0.09700;0.69600;0.50300
626;-0.18300;-0.28600;0.78600;0.54300
626.5;-0.14000;-0.31500;0.76500;0.54200
627;-0.08500;-0.25200;0.68600;0.52900
627.5;-0.03800;-0.21800;0.60000;0.49300
628;0.00700;-0.19700;0.52500;0.45200
628.5;0.06600;-0.22200;0.45100;0.42500
629;0.13100;-0.17100;0.47400;0.38900
629.5;0.24800;0.00500;0.42600;0.27300
630;0.22400;-0.01900;0.41100;0.25000
630.5;0.22400;-0.00200;0.32100;0.24300
631;0.29500;0.06500;0.19600;0.14200
631.5;0.28700;0.12800;0.08400;0.07900
632;0.33000;0.23300;-0.01400;0.04200
632.5;0.21500;0.17300;-0.01300;0.03200
633;0.11000;0.04900;0.04200;0.06000
633.5;0.02600;-0.03900;0.10900;0.09900
634;0.07500;-0.00200;0.18800;0.07200
634.5;0.15900;0.10100;0.17300;-0.03700
635;0.15600;0.13900;0.10100;-0.10900
635.5;0.18000;0.17500;-0.00500;-0.15200
636;0.25900;0.23900;-0.05300;-0.20800
636.5;0.23000;0.14400;-0.06000;-0.17600
637;0.23500;0.10300;-0.07200;-0.14400
637.5;0.18300;0.07300;-0.07900;-0.09000
638;0.14800;0.02200;-0.08000;-0.04300
638.5;0.16300;0.04100;-0.07600;0.01500
639;0.18600;0.02000;-0.00900;0.04100
639.5;0.13000;0.02300;-0.00100;0.02400
640;0.08300;0.02300;-0.02900;-0.01500
640.5;0.14600;0.09300;-0.01800;-0.01700
641;0.23900;0.14300;0.05200;-0.00600
641.5;0.27900;0.16000;0.12900;0.06900
642;0.29800;0.16800;0.25100;0.15700
642.5;0.32300;0.27600;0.25200;0.18700
643;0.31300;0.33100;0.22800;0.16300
643.5;0.36000;0.33700;0.20300;0.16100
644;0.35100;0.26200;0.24000;0.17900
644.5;0.23400;0.23300;0.19700;0.09700
645;0.13800;0.06200;0.18000;0.03800
645.5;0.06100;-0.09000;0.19600;0.00300
646;0.02900;-0.23700;0.19900;0.00000
646.5;-0.07700;-0.36100;0.24300;0.02900
647;-0.26600;-0.52500;0.37600;0.16200
647.5;-0.41100;-0.60200;0.47000;0.26700
648;-0.40100;-0.60500;0.50700;0.31100
648.5;-0.32400;-0.52200;0.51900;0.38000
649;-0.14500;-0.38200;0.46800;0.37400
649.5;-0.09300;-0.27000;0.42300;0.31900
650;-0.05500;-0.26700;0.30300;0.28400
650.5;0.03600;-0.21300;0.21400;0.22600
651;0.22700;0.01200;0.01200;0.12300
651.5;0.25700;0.09100;-0.09400;0.06300
652;0.21000;0.16700;-0.12300;0.03300
652.5;0.21000;0.22800;-0.03100;0.04600
653;0.22800;0.19500;-0.01700;0.07300
653.5;0.12200;0.05500;0.10600;0.12800
654;0.08000;-0.01600;0.17600;0.17400
654.5;-0.09300;-0.10900;0.26700;0.19500
655;-0.13400;-0.17900;0.27500;0.16900
655.5;-0.11800;-0.23500;0.31000;0.15600
656;-0.01200;-0.11900;0.20000;0.02700
656.5;0.05900;-0.03100;0.13600;-0.02600
657;0.11900;0.03400;0.10500;-0.06900
657.5;0.16000;0.08200;0.14200;-0.01800
658;0.13500;0.03700;0.16900;0.06400
658.5;0.06600;-0.01800;0.24500;0.09700
659;0.04200;-0.01400;0.29300;0.16900
659.5;-0.05400;-0.01000;0.33300;0.24600
660;-0.10100;-0.01700;0.42500;0.34300
660.5;-0.02400;0.01900;0.40800;0.41300
661;0.09100;0.12200;0.37600;0.35400
661.5;0.15500;0.17100;0.32900;0.27700
662;0.15100;0.12400;0.27800;0.18500
662.5;0.17400;0.10800;0.22800;0.12300
663;0.27100;0.13600;0.13400;-0.02700
663.5;0.23700;0.05100;0.14200;-0.09300
664;0.25000;-0.04500;0.15500;-0.13200
664.5;0.15500;-0.09900;0.23000;-0.06300
665;0.12600;-0.07600;0.36100;0.10300
665.5;0.20900;-0.02800;0.44200;0.25700
666;0.21300;-0.02500;0.57200;0.35600
666.5;0.21400;0.01400;0.70200;0.40500
667;0.14600;0.05000;0.69000;0.36900
667.5;0.13600;0.10800;0.60200;0.32600
668;0.15200;0.15100;0.45400;0.31700
668.5;0.05300;0.09000;0.43800;0.29900
669;0.10700;0.12700;0.35600;0.20000
669.5;0.08000;0.13200;0.25900;0.11600
670;0.09600;0.13800;0.25200;0.08600
670.5;0.03600;0.01300;0.29100;0.07300
671;-0.02600;-0.09300;0.29400;0.10000
671.5;-0.03500;-0.15600;0.32100;0.14900
672;-0.14500;-0.17400;0.30900;0.13700
672.5;-0.19500;-0.20200;0.27400;0.19000
673;-0.25000;-0.21400;0.24500;0.29000
673.5;-0.27200;-0.24000;0.31000;0.38000
674;-0.18700;-0.14800;0.24700;0.34600
674.5;-0.17700;-0.07200;0.14300;0.26900
675;-0.13100;-0.00100;0.10600;0.15200
675.5;-0.12700;0.02300;0.06200;0.08600
676;-0.07500;0.05000;0.09400;0.10200
676.5;-0.04100;0.05400;0.21100;0.17900
677;0.02300;0.07700;0.29500;0.15200
677.5;0.09900;0.08400;0.32800;0.15900
678;0.12100;0.06100;0.26200;0.15500
678.5;0.12700;0.00100;0.29800;0.19200
679;0.14700;-0.04900;0.27900;0.15300
679.5;0.11200;-0.02900;0.19000;0.11500
680;0.10700;-0.05000;0.11900;0.02500
680.5;0.07900;-0.00500;0.00700;-0.04000
681;0.16700;0.00300;-0.03200;-0.07200
681.5;0.21600;0.09300;-0.03400;-0.09300
682;0.25100;0.11900;-0.05600;-0.08800
682.5;0.30200;0.18000;-0.23800;-0.16600
683;0.27400;0.17400;-0.38500;-0.23700
683.5;0.27700;0.14000;-0.38800;-0.19700
684;0.20700;0.02300;-0.25200;-0.12000
684.5;0.16500;0.02600;-0.14500;-0.08600
685;0.25800;0.04300;-0.07000;-0.08800
685.5;0.26100;0.04800;-0.04700;-0.11900
686;0.38000;0.05900;-0.03200;-0.12900
686.5;0.42600;0.12900;-0.01000;-0.13300
687;0.43900;0.09300;0.05800;-0.08600
687.5;0.51700;0.09200;-0.08800;-0.16100
688;0.60900;0.11200;-0.22700;-0.23300
688.5;0.70600;0.17100;-0.30900;-0.20300
689;0.75100;0.24200;-0.24900;-0.16900
689.5;0.68000;0.23300;-0.11400;-0.04300
690;0.64000;0.30400;-0.03900;-0.02200
690.5;0.48200;0.26400;0.08600;-0.01000
691;0.33600;0.16600;0.12100;-0.01300
691.5;0.20900;0.10400;0.09400;-0.03300
692;0.15400;0.00300;-0.00500;-0.12900
692.5;0.15200;-0.04100;-0.21900;-0.30100
693;0.21300;-0.00500;-0.37100;-0.41400
693.5;0.25800;0.10300;-0.55400;-0.50400
694;0.30800;0.17500;-0.60000;-0.51800
694.5;0.21600;0.18500;-0.57000;-0.41600
695;0.18800;0.26900;-0.50700;-0.35000
695.5;0.15900;0.28900;-0.32800;-0.22800
696;0.18300;0.30000;-0.30500;-0.16500
696.5;0.13400;0.31800;-0.22000;-0.08900
697;0.24500;0.37100;-0.23400;-0.10100
697.5;0.31900;0.42500;-0.27700;-0.14700
698;0.36200;0.42800;-0.25000;-0.12800
698.5;0.32100;0.38000;-0.23800;-0.13400
699;0.30100;0.27000;-0.24200;-0.16800
699.5;0.29300;0.28900;-0.27800;-0.22700
700;0.23800;0.23900;-0.26800;-0.24000
700.5;0.24400;0.14700;-0.16400;-0.21900
701;0.09700;-0.02200;-0.01500;-0.09800
701.5;-0.08200;-0.18500;0.18500;0.04500
702;-0.23300;-0.38100;0.29300;0.16000
702.5;-0.29300;-0.55300;0.34700;0.25400
703;-0.30400;-0.52200;0.28900;0.25800
703.5;-0.27700;-0.48700;0.28000;0.25300
704;-0.14800;-0.39600;0.23500;0.18700
704.5;-0.07100;-0.30000;0.16300;0.10500
705;-0.10200;-0.29800;0.14100;0.05900
705.5;-0.06100;-0.27600;0.19500;0.09000
706;-0.01300;-0.19600;0.28700;0.09800
706.5;0.02200;-0.14100;0.29100;0.09700
707;0.08000;-0.10400;0.19000;0.04700
707.5;0.22600;0.03700;0.08400;-0.05400
708;0.29100;0.27900;-0.12000;-0.11400
708.5;0.38600;0.34800;-0.16800;-0.14600
709;0.40900;0.30600;-0.16500;-0.13400
709.5;0.41900;0.25900;-0.15900;-0.07500
710;0.30400;0.23600;-0.16000;0.02300
710.5;0.31600;0.28500;-0.15700;0.06300
711;0.33300;0.36100;-0.21100;-0.06900
711.5;0.24700;0.31700;-0.26900;-0.10700
712;0.20100;0.23600;-0.41900;-0.21900
712.5;0.16500;0.14600;-0.42800;-0.28600
713;-0.01600;-0.09500;-0.31800;-0.15000
713.5;-0.09700;-0.29700;-0.14000;-0.12900
714;-0.16800;-0.39100;0.01800;-0.12600
714.5;-0.02300;-0.25900;0.03900;-0.10500
715;0.09000;-0.06400;0.05600;-0.09400
715.5;0.25900;0.19400;0.02400;-0.15200
716;0.28400;0.33800;-0.11100;-0.30400
716.5;0.25400;0.35900;-0.15300;-0.30100
717;0.23900;0.25900;-0.21000;-0.23800
717.5;0.19000;0.07900;-0.18100;-0.19100
718;0.08700;-0.12200;-0.10200;-0.07600
718.5;-0.00800;-0.22500;-0.10300;-0.04300
719;0.00300;-0.27900;-0.20800;-0.06600
719.5;0.14700;-0.18100;-0.31400;-0.11700
720;0.16700;-0.20700;-0.26600;-0.07000
720.5;0.16800;-0.16000;-0.18100;-0.00700
721;0.14900;-0.04000;-0.14900;-0.08800
721.5;0.18600;0.08600;0.00500;-0.02400
722;0.23100;0.19700;0.08400;0.02700
722.5;0.23000;0.23900;0.13700;-0.01100
723;0.13600;0.22400;0.12800;-0.05600
723.5;0.11400;0.25000;0.05200;-0.06400
724;0.12600;0.19300;-0.01300;-0.07100
724.5;0.04700;0.03200;0.07700;-0.01600
725;-0.07900;-0.22000;0.18700;0.10700
725.5;-0.12600;-0.35100;0.29200;0.19200
726;-0.02400;-0.31300;0.25600;0.09100
726.5;0.21800;-0.13800;0.11200;-0.03600
727;0.35500;0.03300;-0.06600;-0.18100
727.5;0.47700;0.22800;-0.34000;-0.43400
728;0.49400;0.30400;-0.56800;-0.63600
728.5;0.51800;0.31300;-0.64200;-0.65500
729;0.45200;0.24800;-0.57400;-0.60300
729.5;0.25000;0.09600;-0.46800;-0.56100
730;0.22600;0.07500;-0.42900;-0.51500
730.5;0.22100;0.06700;-0.41500;-0.51200
731;0.25500;0.15000;-0.41900;-0.53900
731.5;0.26100;0.16500;-0.37900;-0.54000
732;0.20300;0.17300;-0.24900;-0.47100
732.5;0.15000;0.10300;-0.17200;-0.42100
733;0.05000;-0.05700;-0.04300;-0.27200
733.5;-0.05900;-0.25900;0.13000;-0.06200
734;-0.15700;-0.38700;0.32400;0.11800
734.5;-0.16400;-0.42800;0.37700;0.17400
735;-0.05700;-0.23500;0.30900;0.13800
735.5;0.03400;-0.06200;0.17900;-0.00200
736;0.10100;0.13300;0.00600;-0.14000
736.5;0.20900;0.24900;-0.11300;-0.27800
737;0.24400;0.31500;-0.20500;-0.34400
737.5;0.25600;0.20700;-0.35400;-0.46700
738;0.22900;0.16400;-0.47900;-0.54400
738.5;0.22300;0.09000;-0.56400;-0.59700
739;0.21500;-0.01900;-0.52200;-0.56700
739.5;0.16100;-0.09900;-0.55100;-0.60700
740;0.13700;-0.04100;-0.63400;-0.74100
740.5;0.22100;-0.04000;-0.66200;-0.77000
741;0.20900;-0.05000;-0.63700;-0.75500
741.5;0.23000;-0.02900;-0.61700;-0.74400
742;0.16100;-0.06200;-0.61200;-0.70300
742.5;0.25000;-0.05700;-0.57500;-0.66500
743;0.21500;-0.02500;-0.55800;-0.61300
743.5;0.14700;-0.04900;-0.47800;-0.52700
744;-0.00700;-0.16200;-0.35600;-0.45500
744.5;-0.10800;-0.29400;-0.15200;-0.37300
745;-0.09100;-0.21600;0.00800;-0.30000
745.5;-0.10900;-0.23200;0.25700;-0.16500
746;-0.22900;-0.25400;0.43300;-0.09900
746.5;-0.29900;-0.29000;0.46800;-0.11300
747;-0.37500;-0.28500;0.38200;-0.12800
747.5;-0.31200;-0.16500;0.31300;-0.09100
748;-0.37100;-0.22500;0.16000;-0.12600
748.5;-0.40700;-0.27900;0.02000;-0.15000
749;-0.34400;-0.26300;-0.14500;-0.18100
749.5;-0.21600;-0.36600;-0.04100;-0.14000
750;-0.04900;-0.32800;0.02900;-0.05400
750.5;-0.02400;-0.36500;0.05800;0.01300
751;0.03100;-0.32900;0.03800;0.05200
751.5;0.10900;-0.30400;0.05500;0.04700
752;0.10200;-0.20000;-0.01000;-0.03000
752.5;0.21500;-0.02600;-0.09700;-0.21200
753;0.25100;0.03300;-0.20000;-0.37300
753.5;0.30600;0.13400;-0.30600;-0.48400
754;0.32900;0.28800;-0.39500;-0.58400
754.5;0.40900;0.32100;-0.37100;-0.62500
755;0.50600;0.27300;-0.39300;-0.64500
755.5;0.40000;0.23200;-0.48900;-0.59900
756;0.39800;0.26200;-0.43700;-0.52300
756.5;0.28100;0.12500;-0.24800;-0.48100
757;0.17500;0.07900;-0.16500;-0.44700
757.5;0.19600;0.04100;-0.09400;-0.47200
758;0.15900;0.00200;-0.02200;-0.34700
758.5;0.19900;-0.03000;0.01800;-0.27700
759;0.22300;-0.06000;0.01100;-0.26500
759.5;0.22200;-0.03400;0.03600;-0.24900
760;0.17100;-0.10100;-0.01700;-0.22800
760.5;0.15000;0.03500;-0.14900;-0.27800
761;0.12900;0.14400;-0.15000;-0.32900
761.5;-0.02000;0.06600;-0.05200;-0.33200
762;-0.05500;0.10800;-0.07100;-0.27700
762.5;-0.13000;0.01000;-0.07200;-0.20700
763;-0.17900;-0.05900;-0.11300;-0.15700
763.5;-0.05700;-0.14300;-0.21300;-0.25100
764;-0.02300;-0.25200;-0.24500;-0.27700
764.5;0.00200;-0.24200;-0.22200;-0.27200
765;0.08800;-0.17600;-0.26000;-0.23800
765.5;0.28700;-0.01500;-0.33100;-0.26900
766;0.33600;0.14600;-0.23600;-0.25300
766.5;0.42300;0.21800;-0.17900;-0.19100
767;0.36300;0.30000;-0.13200;-0.10900
767.5;0.22000;0.17600;-0.07000;-0.05200
768;0.24700;0.12700;-0.04400;-0.13000
768.5;0.21700;-0.02600;-0.00400;-0.18900
769;0.15700;-0.27600;0.11800;-0.19800
769.5;0.12400;-0.46200;0.09300;-0.22500
770;0.18500;-0.42000;-0.03800;-0.32300
770.5;0.25400;-0.33300;-0.14700;-0.41400
771;0.34300;-0.17100;-0.31200;-0.57300
771.5;0.42700;0.00000;-0.39100;-0.54200
772;0.29200;0.09100;-0.38900;-0.42000
772.5;0.35500;0.20900;-0.45500;-0.28100
773;0.47500;0.29500;-0.45300;-0.19800
773.5;0.32700;0.28900;-0.32800;-0.09200
774;0.17400;0.15100;-0.16300;-0.01400
774.5;0.11200;0.03500;-0.15400;0.07000
775;0.10200;0.08200;-0.12800;0.08700
775.5;0.07600;0.12400;-0.02800;0.04700
776;0.12900;0.08400;-0.02100;-0.15200
